iter	Passed	Remaining
0	312	3869765
1	710	4404598
2	1178	4867534
3	1598	4952834
4	2012	4988246
5	2415	4987582
6	2839	5026014
7	2952	4572254
8	3266	4496586
9	3684	4563528
10	4084	4598667
11	4485	4629828
12	4734	4510188
13	5188	4589469
14	5620	4639687
15	6036	4670873
16	6464	4707475
17	6896	4742728
18	7319	4768187
19	7732	4785057
20	8145	4800556
21	8543	4805563
22	8977	4829721
23	9398	4845352
24	9816	4857929
25	10227	4866479
26	10632	4871251
27	11064	4887576
28	11491	4901009
29	11903	4907100
30	12307	4909345
31	12740	4922892
32	13184	4939683
33	13596	4943754
34	14030	4955443
35	14454	4963097
36	14898	4976916
37	15307	4978627
38	15727	4983555
39	16190	5001665
40	16758	5050399
41	17260	5077515
42	17736	5095688
43	18169	5101223
44	18632	5114278
45	19091	5126054
46	19554	5138181
47	20094	5169703
