품목,등급,단량,단위,평균가
가죽나물(가죽나물(일반)),없음              ,4,kg,32000
가죽나물(가죽나물(일반)),특(1등            ,2,kg,14000
가죽나물(가죽나물(일반)),없음              ,4,kg,25000
가죽나물(가죽나물(일반)),없음              ,4,kg,25000
가죽나물(가죽나물(일반)),없음              ,4,kg,30000
가죽나물(가죽나물(일반)),특(1등            ,4,kg,35000
가죽나물(가죽나물(일반)),특(1등            ,4,kg,23000
가죽나물(기타),특(1등            ,2,kg,25000
가죽나물(기타),특(1등            ,2,kg,14000
가죽나물(기타),특(1등            ,3,kg,25000
가죽나물(기타),특(1등            ,1.7,kg,6000
가죽나물(기타),특(1등            ,2,kg,8000
가죽나물(참죽나물),특(1등            ,2,kg,23000
가지(가지(일반)),특(1등            ,5,kg,15233
가지(가지(일반)),상(2등            ,5,kg,11093
가지(가지(일반)),보통(3            ,5,kg,10000
가지(가지(일반)),특(1등            ,5,kg,15739
가지(가지(일반)),상(2등            ,5,kg,11486
가지(가지(일반)),보통(3            ,5,kg,8692
가지(가지(일반)),특(1등            ,10,kg,28000
가지(가지(일반)),특(1등            ,5,kg,17506
가지(가지(일반)),상(2등            ,5,kg,12464
가지(가지(일반)),보통(3            ,5,kg,9400
가지(가지(일반)),없음              ,8,kg,18000
가지(가지(일반)),특(1등            ,5,kg,15681
가지(가지(일반)),상(2등            ,5,kg,12455
가지(가지(일반)),보통(3            ,5,kg,9944
가지(가지(일반)),특(1등            ,5,kg,17473
가지(가지(일반)),상(2등            ,5,kg,11892
가지(가지(일반)),보통(3            ,5,kg,7800
가지(가지(일반)),특(1등            ,5,kg,16335
가지(가지(일반)),상(2등            ,5,kg,12021
가지(가지(일반)),보통(3            ,5,kg,8333
가지(가지(일반)),없음              ,8,kg,25000
가지(가지(일반)),상(2등            ,10,kg,32000
가지(가지(일반)),특(1등            ,5,kg,17051
가지(가지(일반)),상(2등            ,5,kg,11704
가지(가지(일반)),보통(3            ,5,kg,9278
가지(가지(일반)),없음              ,8,kg,20000
가지(가지(일반)),상(2등            ,10,kg,26000
가지(가지(일반)),특(1등            ,5,kg,15288
가지(가지(일반)),상(2등            ,5,kg,11044
가지(가지(일반)),보통(3            ,5,kg,7727
가지(가지(일반)),특(1등            ,10,kg,33250
가지(가지(일반)),특(1등            ,5,kg,16330
가지(가지(일반)),상(2등            ,5,kg,12029
가지(가지(일반)),보통(3            ,5,kg,12200
가지(가지(일반)),특(1등            ,10,kg,33250
가지(가지(일반)),특(1등            ,5,kg,17860
가지(가지(일반)),상(2등            ,5,kg,14792
가지(가지(일반)),보통(3            ,5,kg,10000
가지(가지(일반)),특(1등            ,10,kg,41176
가지(가지(일반)),상(2등            ,10,kg,30500
가지(가지(일반)),특(1등            ,5,kg,17437
가지(가지(일반)),보통(3            ,5,kg,13704
가지(가지(일반)),특(1등            ,10,kg,39448
가지(가지(일반)),상(2등            ,10,kg,27818
가지(가지(일반)),보통(3            ,10,kg,22000
가지(가지(일반)),특(1등            ,5,kg,19049
가지(가지(일반)),상(2등            ,5,kg,13500
가지(가지(일반)),보통(3            ,5,kg,9250
가지(가지(일반)),특(1등            ,5,kg,18907
가지(가지(일반)),상(2등            ,5,kg,14297
가지(가지(일반)),보통(3            ,5,kg,10000
가지(가지(일반)),없음              ,8,kg,25000
가지(가지(일반)),특(1등            ,5,kg,15818
가지(가지(일반)),상(2등            ,5,kg,12428
가지(가지(일반)),보통(3            ,5,kg,9364
가지(가지(일반)),특(1등            ,5,kg,14648
가지(가지(일반)),상(2등            ,5,kg,11287
가지(가지(일반)),보통(3            ,5,kg,8857
가지(가지(일반)),특(1등            ,5,kg,12446
가지(가지(일반)),상(2등            ,5,kg,8413
가지(가지(일반)),보통(3            ,5,kg,5778
가지(가지(일반)),특(1등            ,10,kg,27378
가지(가지(일반)),상(2등            ,10,kg,18500
가지(가지(일반)),특(1등            ,5,kg,12339
가지(가지(일반)),상(2등            ,5,kg,8666
가지(가지(일반)),보통(3            ,5,kg,6071
가지(가지(일반)),특(1등            ,5,kg,12724
가지(가지(일반)),보통(3            ,5,kg,5786
가지(가지(일반)),특(1등            ,10,kg,26000
가지(가지(일반)),특(1등            ,5,kg,12414
가지(가지(일반)),상(2등            ,5,kg,7167
가지(가지(일반)),보통(3            ,5,kg,4769
가지(가지(일반)),특(1등            ,10,kg,27667
가지(가지(일반)),상(2등            ,10,kg,18500
가지(가지(일반)),특(1등            ,5,kg,14112
가지(가지(일반)),상(2등            ,5,kg,10816
가지(가지(일반)),보통(3            ,5,kg,8750
가지(가지(일반)),특(1등            ,10,kg,33077
가지(가지(일반)),상(2등            ,10,kg,22000
가지(가지(일반)),특(1등            ,5,kg,12743
가지(가지(일반)),상(2등            ,5,kg,9904
가지(가지(일반)),보통(3            ,5,kg,7600
가지(가지(일반)),특(1등            ,5,kg,12665
가지(가지(일반)),상(2등            ,5,kg,9590
가지(가지(일반)),보통(3            ,5,kg,7795
가지(가지(일반)),특(1등            ,10,kg,27971
가지(가지(일반)),상(2등            ,10,kg,19000
가지(가지(일반)),특(1등            ,5,kg,11616
가지(가지(일반)),상(2등            ,5,kg,8641
가지(가지(일반)),보통(3            ,5,kg,7378
가지(가지(일반)),특(1등            ,10,kg,24628
가지(가지(일반)),상(2등            ,10,kg,18000
가지(가지(일반)),특(1등            ,5,kg,10716
가지(가지(일반)),상(2등            ,5,kg,7440
가지(가지(일반)),보통(3            ,5,kg,6500
가지(가지(일반)),특(1등            ,10,kg,20425
가지(가지(일반)),상(2등            ,10,kg,15500
가지(가지(일반)),특(1등            ,5,kg,11425
가지(가지(일반)),상(2등            ,5,kg,7895
가지(가지(일반)),보통(3            ,5,kg,5133
가지(가지(일반)),특(1등            ,10,kg,25277
가지(가지(일반)),상(2등            ,10,kg,16667
